gen,family,species,sub_species,common_name,recordist,date,time,country,location,lat,lng,bird,file_name,weights,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,gmm_cluster,gmm_prob_0,gmm_prob_1,gmm_prob_2,gmm_prob_3,gmm_prob_4,gmm_prob_5,gmm_prob_6,gmm_prob_7,oscine_group
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2012-04-10,09:30,Australia,Royal National Park NSW,-33.3824,151.0704,134247,Ptilonorhynchus_violaceus_134247_seg8.wav,0.032258064516129,216.39479,-19.658487,7.845329,5.056669,15.058308,18.62324,-2.3520186,2.0611124,2.609253,-3.7262459,-4.4245076,-0.58416617,4.6769667,5.695578,5.328589,-4.0825944,-1.3471712,-0.8380061,-1.3331281,-0.54410154,-2.5523922,2.5261912,3.4384236,-0.6762572,1.0987902,0.33986184,-0.6990417,0.027253078,-1.1656163,0.17627674,-0.5292446,-0.8584491,-0.60461175,5.0658073,-3.3219576,0.24577141,0.7323533,7,2.6713719695156018e-17,0.0002624377793883019,0.0002815348293646041,0.2955411932788886,0.00018480622717397248,0.00019163253511580926,0.0005129931953734906,0.7030254021546949,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2013-11-24,10:30,Australia,"Barren Grounds, New South Wales",-34.6757,150.7072,171965,Ptilonorhynchus_violaceus_171965_seg9.wav,0.032258064516129,233.44417,-19.530539,-3.9870887,2.4945304,17.903309,13.467821,-2.1348162,-1.3049052,0.7387283,2.595588,5.719396,0.49354374,-0.7825475,9.262794,0.6932758,1.376878,-6.5895805,-2.184255,-0.46901017,1.1597121,-0.9361579,-0.63679713,0.9651929,0.0029623949,-0.62237996,2.5876966,-1.2654485,3.2733574,0.024773987,-2.4546692,-3.4511797,-2.1146593,-0.73176724,1.2147484,0.5814996,2.6076736,0.14593637,3,3.383053977590276e-17,1.522989269500389e-06,1.0012518356625807e-06,0.8217349338381793,2.0438770688469158e-05,6.987764026707614e-06,0.17797998209464416,0.00025513329135765463,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2013-11-24,10:30,Australia,"Barren Grounds, New South Wales",-34.6757,150.7072,171965,Ptilonorhynchus_violaceus_171965_seg8.wav,0.032258064516129,248.86667,-29.803782,-13.961169,-6.42551,19.867962,15.655749,-3.1169102,-0.496965,13.600958,0.6380128,-2.647556,-1.4461004,0.9689119,1.7058738,-4.0353026,4.970906,0.14626966,-0.11606266,4.7170653,0.9636175,6.831072,-0.08192022,-5.1920266,-0.8914289,1.5811707,-2.9029782,2.4655023,-1.9836489,-0.43477094,-0.14932835,-1.9310085,-1.4890403,0.14062929,2.7343273,-2.7065573,1.6108418,-0.90614456,7,6.892300159064004e-39,1.570219421875922e-08,3.599647716322442e-06,0.018330778923926858,3.278711992575143e-05,4.134133475085321e-05,0.3607024424041924,0.6208890348672942,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2012-04-10,09:30,Australia,Royal National Park NSW,-33.3824,151.0704,134247,Ptilonorhynchus_violaceus_134247_seg9.wav,0.032258064516129,220.99738,-13.599331,10.82922,1.4472469,17.06557,20.382822,1.182972,6.2273865,8.811313,1.9745198,1.7198187,-1.3890265,1.4038434,4.964019,2.7968936,-6.3978558,-3.9685595,0.33142045,2.0739965,-4.9923553,1.0203688,0.057171956,-3.2877777,3.1900923,-0.71988976,-0.06350107,-0.6181112,0.517029,-2.3959577,-2.1473012,0.52473253,0.53811836,-0.03225422,3.115385,-3.2489967,-1.781908,0.13248211,6,2.676016334034885e-21,0.001597358647207121,9.761906828745164e-06,0.0006419587701265529,0.00015696527276445437,0.00040455182787824454,0.6452794080615314,0.351909995513666,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2012-04-10,09:30,Australia,Royal National Park NSW,-33.3824,151.0704,134247,Ptilonorhynchus_violaceus_134247_seg16.wav,0.032258064516129,216.93626,-11.054063,2.6485467,-0.012833194,17.648287,14.932571,-4.3009076,-4.6063733,-1.0171319,2.6893306,2.7773547,2.7872405,5.010549,10.117882,-0.40221953,-1.4098744,0.67658347,4.5143147,-0.7502962,0.22809981,2.1155827,1.0559499,-2.3234482,-4.0533338,2.0871022,2.0691657,-1.9228904,2.5062196,-0.3309773,-3.9267097,-2.5454988,-3.0179985,0.9749842,2.1365757,-1.5617294,-0.77716446,1.0531126,3,7.1632329107238855e-19,0.0015501249572083746,2.2587695732801966e-07,0.9982263133443187,7.834073224819833e-06,2.4003831255946943e-07,0.00017679638351832867,3.846532645903237e-05,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2012-04-10,09:30,Australia,Royal National Park NSW,-33.3824,151.0704,134247,Ptilonorhynchus_violaceus_134247_seg14.wav,0.032258064516129,189.05052,26.18883,19.650894,8.775162,11.494698,16.668543,0.56344366,4.9659867,7.3219047,1.3928237,-0.08701445,-4.7274756,1.6939278,2.0259676,-0.30001998,-4.644929,0.16714954,0.35015127,-0.026633529,-1.104118,-2.1706727,-0.097098544,-0.17587371,0.2797563,0.6639965,-1.2906904,-2.524973,1.03634,-1.942517,-1.5238515,-2.8552194,-2.663667,-0.031816542,-0.845356,0.21443415,1.6777725,-0.04170399,6,2.0236014534635866e-22,1.548174311312072e-07,9.022689711205353e-06,0.2345243600932727,3.633958915931272e-08,9.750122368775697e-08,0.7654544810916704,1.1847467102268733e-05,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2012-04-10,09:30,Australia,Royal National Park NSW,-33.3824,151.0704,134247,Ptilonorhynchus_violaceus_134247_seg10.wav,0.032258064516129,215.41806,-4.7472744,9.586133,3.0036366,11.844956,16.986502,3.0704446,0.42780656,5.1101255,0.2022172,-0.26200947,-1.917185,-0.48169532,3.4478135,-0.5424201,-2.001332,-3.4081545,-1.1080657,0.79665536,-2.2046733,0.8970777,0.78017414,0.06528748,3.295735,-0.6585936,0.99030495,-2.2114577,1.779167,0.7980385,0.040406257,-0.4683764,0.7265104,0.43393606,2.8709087,-2.1721478,2.0099316,-0.6247798,3,3.299925896833654e-20,1.2112189468435381e-07,7.860352296584548e-08,0.9924654351321863,4.027691596324246e-09,6.649646165182775e-09,0.007533128513229918,1.2259518275810752e-06,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2012-04-10,09:30,Australia,Royal National Park NSW,-33.3824,151.0704,134247,Ptilonorhynchus_violaceus_134247_seg11.wav,0.032258064516129,230.54036,-7.378624,1.3475299,5.592514,13.878532,17.148272,4.688086,-0.85217196,7.646052,0.9927129,-3.58766,-2.9278934,-2.956882,0.0701769,-1.5988923,-6.1553774,-3.0182025,-1.2754966,1.9140105,-5.473079,-0.19591531,-0.36339858,2.4265764,4.5045986,0.5810499,-1.4391209,-2.9348185,5.338602,-0.42887354,-0.122626364,-0.9728811,-1.4282314,-0.82477474,2.9012203,-1.1318002,2.8117409,-0.5424118,6,1.719604707140753e-18,2.9316129822561575e-11,1.0797553311051357e-06,1.00159585615206e-06,1.0353027371731906e-06,0.00011010891133897947,0.9783418361625044,0.021544938242914983,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2012-04-10,09:30,Australia,Royal National Park NSW,-33.3824,151.0704,134247,Ptilonorhynchus_violaceus_134247_seg13.wav,0.032258064516129,205.20537,5.1175613,8.719779,2.0366673,12.188233,17.566288,-2.153828,1.7852461,7.8985605,3.8103855,-0.5753274,-1.6842616,-0.17874296,3.080917,-2.4765773,-3.268206,-3.304504,-2.6270864,1.2709861,-1.6289783,-0.48408672,-1.2641652,-0.2109242,3.1211793,-0.72487235,-0.55430233,-1.6343772,2.541071,1.1110742,-0.6663848,-1.1233606,-3.1682763,-1.5016756,2.399212,-0.76016617,2.9180565,-1.8011637,6,5.180548776903484e-21,4.842935332840117e-05,3.5642938834952596e-06,0.03291328907897756,8.784859864761687e-08,9.046322926938776e-07,0.9669799209472227,5.380384569475382e-05,Oscines
Ptilonorhynchus,Ptilonorhynchidae (Bowerbirds),Ptilonorhynchus_violaceus,violaceus,Satin Bowerbird,Marc Anderson,2012-04-10,09:30,Australia,Royal National Park NSW,-33.3824,151.0704,134247,Ptilonorhynchus_violaceus_134247_seg12.wav,0.032258064516129,214.71631,-4.475434,3.9918792,2.2483053,16.053486,16.713507,-0.29828277,1.8650074,7.1980557,2.341603,1.284701,-2.3057528,-1.2473878,6.002453,2.1383884,0.91224885,-1.5012975,0.68374604,0.66495544,-0.31888512,0.2949712,0.12591374,-0.72486573,-0.66077524,-0.72799784,-2.686343,0.24422275,2.939466,0.9009287,-0.67937374,-2.3307884,-0.08642087,-0.40626645,2.8730183,-1.9111085,0.61034966,-0.72364974,3,1.2893677534621129e-31,2.933820248929712e-09,3.825947256262258e-09,0.9994752181986752,6.145158151949597e-11,7.561177298047415e-11,0.0005247702517325395,4.652762310978286e-09,Oscines
